,SalesOrderNumber,Cluster Labels without Region,Cluster Labels with Region
0,43697,0,0
1,43698,1,1
2,43699,1,0
3,43700,0,2
4,43701,0,0
5,43702,2,2
6,43703,0,0
7,43704,0,0
8,43705,0,0
9,43706,2,2
10,43707,2,2
11,43708,1,2
12,43709,0,0
13,43710,1,1
14,43711,0,0
15,43712,1,0
16,43713,0,0
17,43714,2,2
18,43715,1,0
19,43716,1,1
20,43717,0,2
21,43718,0,0
22,43719,0,0
23,43720,2,2
24,43721,2,2
25,43722,2,2
26,43723,1,2
27,43724,1,1
28,43725,2,2
29,43726,0,2
30,43727,0,0
31,43728,0,0
32,43729,2,2
33,43730,1,0
34,43731,2,2
35,43732,1,1
36,43733,0,0
37,43734,0,0
38,43735,1,1
39,43736,0,0
40,43737,2,2
41,43738,1,1
42,43739,0,0
43,43740,1,1
44,43741,0,0
45,43742,2,2
46,43743,0,0
47,43744,0,0
48,43745,1,1
49,43746,0,0
50,43747,0,0
51,43748,0,0
52,43749,2,2
53,43750,1,0
54,43751,1,1
55,43752,2,2
56,43753,1,0
57,43754,0,0
58,43755,0,0
59,43756,2,2
60,43757,1,1
61,43758,2,2
62,43759,2,2
63,43760,0,0
64,43761,1,0
65,43762,0,0
66,43763,1,1
67,43764,0,0
68,43765,0,0
69,43766,1,1
70,43767,0,0
71,43768,0,0
72,43769,0,0
73,43770,0,0
74,43771,0,2
75,43772,1,1
76,43773,1,1
77,43774,0,0
78,43775,1,0
79,43776,2,2
80,43777,1,1
81,43778,1,0
82,43779,0,2
83,43780,1,1
84,43781,0,0
85,43782,1,1
86,43783,0,0
87,43784,0,0
88,43785,1,0
89,43786,1,1
90,43787,1,1
91,43788,2,2
92,43789,1,0
93,43790,1,0
94,43791,1,0
95,43792,2,2
96,43793,0,2
97,43794,1,0
98,43795,2,2
99,43796,1,2
100,43797,1,0
101,43798,1,1
102,43799,2,2
103,43800,1,0
104,43801,0,0
105,43802,1,1
106,43803,0,0
107,43804,0,0
108,43805,2,2
109,43806,1,1
110,43807,1,1
111,43808,2,2
112,43809,0,0
113,43810,0,0
114,43811,1,0
115,43812,2,2
116,43813,1,1
117,43814,1,0
118,43815,0,0
119,43816,0,0
120,43817,1,1
121,43818,1,1
122,43819,0,0
123,43820,0,0
124,43821,2,2
125,43822,0,0
126,43823,2,2
127,43824,0,2
128,43825,0,0
129,43826,0,0
130,43827,0,2
131,43828,0,0
132,43829,0,0
133,43830,0,0
134,43831,1,0
135,43832,0,0
136,43833,1,0
137,43834,1,0
138,43835,1,0
139,43836,0,2
140,43837,0,0
141,43838,2,2
142,43839,0,0
143,43840,1,2
144,43841,2,2
145,43842,2,2
146,43918,0,0
147,43919,2,2
148,43920,0,0
149,43921,1,0
150,43922,1,0
151,43923,1,0
152,43924,2,2
153,43925,0,0
154,43926,1,0
155,43927,0,0
156,43928,1,0
157,43929,1,2
158,43930,0,0
159,43931,1,0
160,43932,1,0
161,43933,1,1
162,43934,1,1
163,43935,1,2
164,43936,0,0
165,43937,0,0
166,43938,0,0
167,43939,0,0
168,43940,2,2
169,43941,2,2
170,43942,0,0
171,43943,0,2
172,43944,1,0
173,43945,2,2
174,43946,0,0
175,43947,0,0
176,43948,1,0
177,43949,1,0
178,43950,1,0
179,43951,0,0
180,43952,2,2
181,43953,1,0
182,43954,2,2
183,43955,1,0
184,43956,1,1
185,43957,0,0
186,43958,0,0
187,43959,1,1
188,43960,1,0
189,43961,0,0
190,43962,2,2
191,43963,0,0
192,43964,0,0
193,43965,1,1
194,43966,1,0
195,43967,0,0
196,43968,0,0
197,43969,0,0
198,43970,0,0
199,43971,0,0
200,43972,0,0
201,43973,0,0
202,43974,1,0
203,43975,1,0
204,43976,0,0
205,43977,0,0
206,43978,0,0
207,43979,0,2
208,43980,1,0
209,43981,2,2
210,43982,1,2
211,43983,1,0
212,43984,1,0
213,43985,1,1
214,43986,0,0
215,43987,0,0
216,43988,2,2
217,43989,2,2
218,43990,0,0
219,43991,0,0
220,43992,2,2
221,43993,1,0
222,43994,1,0
223,43995,0,0
224,43996,0,0
225,43997,1,0
226,43998,1,1
227,43999,0,0
228,44000,0,0
229,44001,0,0
230,44002,0,2
231,44003,1,2
232,44004,0,0
233,44005,0,2
234,44006,1,0
235,44007,1,0
236,44008,1,0
237,44009,0,0
238,44010,1,0
239,44011,1,1
240,44012,1,0
241,44013,1,0
242,44014,0,0
243,44015,1,1
244,44016,2,2
245,44017,0,0
246,44018,0,0
247,44019,0,0
248,44020,1,0
249,44021,1,1
250,44022,1,0
251,44023,0,0
252,44024,0,0
253,44025,0,0
254,44026,0,0
255,44027,0,0
256,44028,0,0
257,44029,1,0
258,44030,0,0
259,44031,0,0
260,44032,2,2
261,44033,0,0
262,44034,0,0
263,44035,0,0
264,44036,0,0
265,44037,0,2
266,44038,0,0
267,44039,1,0
268,44040,0,0
269,44041,1,0
270,44042,1,0
271,44043,1,0
272,44044,1,1
273,44045,1,0
274,44046,0,0
275,44047,0,0
276,44048,1,0
277,44049,1,1
278,44050,0,0
279,44051,1,0
280,44052,2,2
281,44053,1,2
282,44054,1,0
283,44055,1,0
284,44056,0,0
285,44057,0,2
286,44058,1,0
287,44059,0,0
288,44060,0,2
289,44061,0,0
290,44062,0,0
291,44063,2,2
292,44064,0,0
293,44065,0,0
294,44066,0,0
295,44067,2,2
296,44068,1,0
297,44069,1,0
298,44070,0,0
299,44071,2,2
300,44072,0,0
301,44073,1,1
302,44134,1,0
303,44135,0,0
304,44136,0,0
305,44137,0,0
306,44138,1,0
307,44139,1,1
308,44140,1,1
309,44141,1,1
310,44142,1,0
311,44143,0,0
312,44144,0,0
313,44145,0,0
314,44146,0,0
315,44147,0,0
316,44148,0,0
317,44149,2,2
318,44150,0,0
319,44151,1,0
320,44152,1,1
321,44153,0,0
322,44154,0,0
323,44155,0,0
324,44156,0,0
325,44157,2,2
326,44158,1,1
327,44159,0,0
328,44160,0,0
329,44161,1,0
330,44162,0,0
331,44163,0,0
332,44164,1,0
333,44165,2,2
334,44166,1,2
335,44167,0,0
336,44168,1,1
337,44169,0,0
338,44170,0,0
339,44171,1,0
340,44172,0,2
341,44173,1,1
342,44174,0,0
343,44175,0,0
344,44176,1,1
345,44177,1,1
346,44178,0,0
347,44179,0,0
348,44180,0,0
349,44181,0,0
350,44182,0,0
351,44183,0,0
352,44184,0,0
353,44185,0,0
354,44186,0,0
355,44187,0,0
