SalesOrderNumber_num,Country,Region
43697,Canada,Canada
43698,France,France
43699,United States,Northwest
43700,United States,Southwest
43701,Australia,Australia
43702,United States,Southwest
43703,Australia,Australia
43704,Australia,Australia
43705,Australia,Australia
43706,United States,Southwest
43707,United States,Southwest
43708,United Kingdom,United Kingdom
43709,Australia,Australia
43710,Australia,Australia
43711,United States,Northwest
43712,Germany,Germany
43713,United States,Southwest
43714,United Kingdom,United Kingdom
43715,Australia,Australia
43716,Australia,Australia
43717,Australia,Australia
43718,United States,Northwest
43719,United States,Southwest
43720,Germany,Germany
43721,United Kingdom,United Kingdom
43722,United Kingdom,United Kingdom
43723,United States,Northwest
43724,Australia,Australia
43725,Germany,Germany
43726,United States,Southwest
43727,Australia,Australia
43728,United States,Southwest
43729,United Kingdom,United Kingdom
43730,United States,Southwest
43731,Australia,Australia
43732,Australia,Australia
43733,United States,Northwest
43734,United States,Northwest
43735,Australia,Australia
43736,Australia,Australia
43737,Germany,Germany
43738,France,France
43739,United Kingdom,United Kingdom
43740,Australia,Australia
43741,United States,Northwest
43742,United Kingdom,United Kingdom
43743,Australia,Australia
43744,Australia,Australia
43745,Australia,Australia
43746,Australia,Australia
43747,United States,Southwest
43748,United States,Northwest
43749,United States,Northwest
43750,France,France
43751,France,France
43752,Germany,Germany
43753,Australia,Australia
43754,United States,Northwest
43755,United States,Southwest
43756,United Kingdom,United Kingdom
43757,Australia,Australia
43758,United States,Southwest
43759,Germany,Germany
43760,Australia,Australia
43761,Australia,Australia
43762,United States,Southwest
43763,Australia,Australia
43764,Australia,Australia
43765,Australia,Australia
43766,Australia,Australia
43767,Australia,Australia
43768,United States,Northwest
43769,Canada,Canada
43770,United States,Northwest
43771,United States,Southwest
43772,Australia,Australia
43773,Australia,Australia
43774,Australia,Australia
43775,Australia,Australia
43776,Germany,Germany
43777,Australia,Australia
43778,Australia,Australia
43779,Australia,Australia
43780,France,France
43781,Australia,Australia
43782,Australia,Australia
43783,Australia,Australia
43784,United States,Southwest
43785,France,France
43786,France,France
43787,Germany,Germany
43788,United Kingdom,United Kingdom
43789,United States,Northwest
43790,United States,Northwest
43791,Australia,Australia
43792,Australia,Australia
43793,Australia,Australia
43794,Australia,Australia
43795,United States,Southwest
43796,France,France
43797,Australia,Australia
43798,Australia,Australia
43799,Australia,Australia
43800,Canada,Canada
43801,United Kingdom,United Kingdom
43802,France,France
43803,Canada,Canada
43804,United Kingdom,United Kingdom
43805,United States,Northwest
43806,Australia,Australia
43807,France,France
43808,Germany,Germany
43809,Australia,Australia
43810,Australia,Australia
43811,Australia,Australia
43812,United States,Southwest
43813,France,France
43814,United States,Northwest
43815,Australia,Australia
43816,Australia,Australia
43817,Australia,Australia
43818,Australia,Australia
43819,Australia,Australia
43820,United States,Southwest
43821,United States,Southwest
43822,United States,Southwest
43823,United Kingdom,United Kingdom
43824,United States,Northwest
43825,Australia,Australia
43826,Australia,Australia
43827,Australia,Australia
43828,United States,Northwest
43829,United States,Southwest
43830,Australia,Australia
43831,Australia,Australia
43832,United Kingdom,United Kingdom
43833,Canada,Canada
43834,France,France
43835,Canada,Canada
43836,Canada,Canada
43837,Australia,Australia
43838,United States,Southwest
43839,United States,Northwest
43840,France,France
43841,Germany,Germany
43842,Australia,Australia
43918,Canada,Canada
43919,France,France
43920,United States,Southwest
43921,Australia,Australia
43922,Germany,Germany
43923,United States,Southwest
43924,France,France
43925,Australia,Australia
43926,Australia,Australia
43927,Australia,Australia
43928,Australia,Australia
43929,Australia,Australia
43930,United States,Southwest
43931,Germany,Germany
43932,Australia,Australia
43933,Australia,Australia
43934,Australia,Australia
43935,United Kingdom,United Kingdom
