SalesOrderNumber,SalesAmount,MonthNum,WeekdayNum,Loyalty in Years,YearlyIncome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,Max CommuteDistance,MaritalStatus,NumberChildrenAtHome,TotalChildren,Gender
SO43697,3578.27 €,1,4,8,70000,Bachelors,Management,1,3,11,S,0,5,M
SO43698,3399.99 €,1,4,8,20000,High School,Manual,0,0,1,S,3,3,F
SO43699,3399.99 €,1,4,8,40000,High School,Professional,1,3,11,S,0,5,F
SO43700,699.10 €,1,4,8,80000,Graduate Degree,Management,1,2,2,M,0,4,M
SO43701,3399.99 €,1,4,8,70000,Bachelors,Professional,0,1,10,S,0,0,F
SO43702,3578.27 €,1,5,8,120000,High School,Professional,1,4,10,M,3,1,M
SO43703,3578.27 €,1,5,8,90000,Bachelors,Professional,0,3,11,S,0,0,M
SO43704,3374.99 €,1,5,8,70000,Bachelors,Professional,1,1,10,S,0,0,M
SO43705,3399.99 €,1,5,8,60000,Bachelors,Professional,1,4,11,M,4,4,M
SO43706,3578.27 €,1,6,8,160000,Graduate Degree,Management,0,4,2,S,0,0,M
SO43707,3578.27 €,1,6,8,120000,Bachelors,Management,1,4,5,S,2,3,F
SO43708,699.10 €,1,6,8,40000,Bachelors,Skilled Manual,1,0,2,M,1,1,M
SO43709,3578.27 €,1,6,8,80000,Partial College,Skilled Manual,0,2,2,S,0,2,F
SO43710,3578.27 €,1,6,8,10000,High School,Manual,1,0,5,M,1,1,F
SO43711,3578.27 €,1,7,8,70000,Partial College,Professional,0,0,1,S,1,2,F
SO43712,3578.27 €,1,7,8,30000,Bachelors,Clerical,1,0,1,M,0,1,F
SO43713,3578.27 €,1,1,8,60000,Partial High School,Skilled Manual,0,3,5,S,1,3,F
SO43714,3578.27 €,1,1,8,170000,Bachelors,Management,1,3,1,M,5,0,F
SO43715,3578.27 €,1,1,8,40000,Bachelors,Management,1,2,10,M,0,2,M
SO43716,3578.27 €,1,1,8,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO43717,699.10 €,1,1,8,70000,Partial College,Skilled Manual,0,1,1,S,0,1,F
SO43718,3578.27 €,1,2,8,70000,Graduate Degree,Management,1,2,10,S,0,3,M
SO43719,3578.27 €,1,2,8,60000,High School,Professional,1,2,10,M,0,2,M
SO43720,3578.27 €,1,2,8,120000,High School,Professional,1,4,10,M,4,3,F
SO43721,3578.27 €,1,2,8,170000,Bachelors,Management,0,3,11,M,5,0,M
SO43722,3578.27 €,1,3,8,130000,Partial College,Professional,1,4,10,M,4,4,M
SO43723,699.10 €,1,3,8,40000,Partial College,Skilled Manual,0,1,2,S,0,0,F
SO43724,3578.27 €,1,3,8,10000,High School,Manual,1,0,5,M,1,1,F
SO43725,3578.27 €,1,4,8,130000,Partial College,Professional,1,2,10,M,4,2,F
SO43726,699.10 €,1,4,8,50000,Bachelors,Skilled Manual,1,1,5,M,1,1,M
SO43727,3578.27 €,1,4,8,70000,Bachelors,Professional,1,3,11,M,0,0,M
SO43728,3578.27 €,1,5,8,60000,Partial High School,Skilled Manual,1,2,10,M,0,3,F
SO43729,3399.99 €,1,5,8,130000,Bachelors,Management,0,4,1,S,3,2,F
SO43730,3399.99 €,1,5,8,30000,Partial High School,Skilled Manual,1,4,11,M,0,5,M
SO43731,3578.27 €,1,5,8,110000,High School,Management,1,4,11,S,5,0,F
SO43732,3374.99 €,1,5,8,10000,Partial High School,Clerical,1,2,2,M,1,2,M
SO43733,3578.27 €,1,5,8,60000,Bachelors,Professional,0,1,1,S,0,1,M
SO43734,3578.27 €,1,6,8,60000,High School,Professional,1,2,10,M,0,2,M
SO43735,3578.27 €,1,6,8,10000,High School,Manual,1,0,5,M,1,1,F
SO43736,3399.99 €,1,6,8,60000,Bachelors,Professional,1,1,5,M,3,3,M
SO43737,3578.27 €,1,7,8,130000,Partial College,Professional,0,2,10,M,4,3,F
SO43738,3578.27 €,1,7,8,10000,Partial High School,Manual,0,2,1,S,0,0,F
